clusterID,Values,Size,IDs
cluster_18671, 191114639818; , 2,techcrave_1703; buydig_161; 
cluster_4812, GETBB7CC5AAEHXX; , 1,techcrave_2444; 
cluster_21057, 192158800417; , 4,antonline_665; rlsteinway_84; ebay_61; techcrave_191; 
cluster_21699, 887276253374; XE510C25K01US; , 4,antonline_794; buydig_492; macmall_407; bestbuy_964; 
cluster_3571, 190780609309; B01JOADGUW; Y6G43EAABD; , 1,gdxtech_181; 
cluster_9531, Z0V000069; , 1,portableone_53; 
cluster_6912, 191200614460; 20HR002BUK; , 1,Box_27; 
cluster_12932, NHQ2LEK005; , 1,Box_334; 
cluster_3797, 888182777794; , 1,techcrave_490; 
cluster_13172, 192545957984; 20KF0022US; , 1,savingslots_125; 
cluster_9771, 889661173090; , 1,techcrave_1597; 
cluster_22949, 192545875066; 4PY45UTABA; 192330716888; 81EM0008US; 171651893; 827485; , 12,antonline_861; savingslots_401; buydig_277; bestbuy_756; techcrave_278; microcenter_43; walmart_321; abt_55; howardcomputer_1563; antonline_174; buydig_250; truecurate_388; 
cluster_15853, APMBTXMNYF23; Z0TXMNYF23BH; , 2,bhphotovideo_83; sdicraft_78; 
cluster_1144, 645380221500; 145464937; , 1,walmart_580; 
cluster_3592, 190780101698; , 1,techcrave_762; 
cluster_10961, BB7C3DAAHDXX; , 1,portableone_261; 
cluster_10030, 41236366; 192651172097; 20M9000KUS; , 1,pcmg_124; 
cluster_3599, 1MP26UT; 192330060158; , 1,savingslots_82; 
cluster_4152, XKTXSKRJW7MSJM0A; , 1,massgenie_372; 
cluster_13484, 4718017072694; X540LADM1052T; , 1,Box_462; 
cluster_12942, MD761LLA; 657597277454; , 1,bestbuy_179; 
cluster_8510, 190781487265; PRM55102701; , 1,savingslots_1; 
cluster_12839, Z0U2MNYL23BH; APMBU2MNYL23; , 1,sdicraft_51; 
cluster_14707, APMBPJMPXR21; Z0UJMPXR21BH; , 1,sdicraft_43; 
cluster_10990, HE840G41GE39; 190781383062; 1GE39UTABA; , 1,sdicraft_192; 
cluster_11804, CRM3180D44PV; 884116261810; , 1,bestbuy_373; 
cluster_7927, 93716F336024; 816909099409; , 1,howardcomputer_1331; 
cluster_13817, 889955801784; 20EN001AUS; , 1,howardcomputer_437; 
cluster_11249, 889899812273; B06Y1MJQLZ; WE621861; , 1,electronicsface-246.html; 
cluster_5411, XBUYT726WWAN; 889349670736; B01MYEFP3Z; , 1,electronicsface-146.html; 
cluster_7639, 889894873385; , 1,antonline_228; 
cluster_4954, FUJCED0010000WAAADU; , 1,techcrave_943; 
cluster_16803, 191376643899; NOT05443; 80S9001NUK; , 2,Box_145; cclonline_57; 
cluster_18255, 191200479519; SP51352N5621; , 2,antonline_922; savingslots_415; 
cluster_10787, 595231518; 615317532733; , 1,walmart_361; 
cluster_12143, CF3110451VM; , 1,portableone_135; 
cluster_14646, HPIW3P26USABA; , 1,techcrave_706; 
cluster_6079, 4719072551292; 9S7179BC3814; , 1,Box_222; 
cluster_14187, E6520I524832010P; 841631116650; , 1,bestbuy_534; 
cluster_19646, 813567025931; Aero15Xv8BK4K4P; 7BPZ5HZICHYXT6PB; , 3,antonline_688; massgenie_130; bestbuy_546; 
cluster_8453, SE2DY5AAADXX; , 1,portableone_294; 
cluster_4947, PC51412; , 1,macmall_126; 
cluster_18624, 20JQ0010US; 191800827413; IN9X0264; , 2,microcart_185; howardcomputer_651; 
cluster_4615, YCXGDOIT1UL7KWLV; 193124473772; , 1,massgenie_41; 
cluster_8206, 974007492; 191628345625; , 1,walmart_88; 
cluster_5241, 192330209816; 20LD001FUS; , 1,howardcomputer_893; 
cluster_6775, 190780552193; , 1,techcrave_813; 
cluster_2698, 889661173311; , 1,techcrave_1588; 
cluster_14307, PT472E00F00UEN; NOT04285; 4051528333978; , 1,cclonline_175; 
cluster_5714, LRYOGLWRWBJJ6YIM; 192545798198; , 1,massgenie_945; 
cluster_7324, 661541428120; IF32QOB0CZN2H4NZ; , 1,massgenie_198; 
cluster_7633, 190781060567; 17w110na; , 1,Box_1; 
cluster_15640, 192158853413; 20M7000MUS; 80WK001LUS; , 2,savingslots_350; howardcomputer_1951; 
cluster_12045, 190780379189; , 1,techcrave_795; 
cluster_3082, 889955719119; 20ED001HUS; , 1,howardcomputer_375; 
cluster_13432, 191545120138; 20HF005KUS; , 1,howardcomputer_709; 
cluster_1385, 191114716861; NXGZRAA006; 829432; , 1,microcenter_103; 
cluster_14000, 5056143602651; NC14V1004; , 1,Box_324; 
cluster_12377, 81BG008AUS; 192545210683; , 1,savingslots_545; 
cluster_14956, 889842015294; , 2,buydig_132; antonline_47; 
cluster_20576, 191628411320; LCDSIAQBHRDHDYPG; RSBPLRZURRUYFJME; 2HU33UTABA; HEZB15G42H33; , 3,massgenie_804; massgenie_730; sdicraft_435; 
cluster_5945, 84A12383C5FF4CE7; , 1,massgenie_725; 
cluster_6177, 797488393; 889349853450; , 1,walmart_293; 
cluster_6880, DCUSB3SMDOCKHVCA; 65030858281; , 1,kaizyr_150; 
cluster_11335, 885170320789; CF54F902KM; , 1,howardcomputer_547; 
cluster_4826, TWDES14SP05R5IM8N9; , 1,techcrave_1018; 
cluster_13147, GETBA73BDDAEFXX; , 1,techcrave_2327; 
cluster_1501, 50742857899; , 1,galleon_87; 
cluster_1701, MWSP3PENUSPPB; , 1,macmall_537; 
cluster_2689, SNOLAT181434SA; , 1,techcrave_2138; 
cluster_7405, SNOLAT229865PC; , 1,techcrave_2166; 
cluster_14806, Z8T44AWABU; NOT05079; 190780941102; , 1,cclonline_108; 
cluster_10081, 4719072575205; GS658RF212AU; , 1,jw_170; 
