clusterID,Values,Size,IDs
cluster_7084, 286359825; 193015254251; , 1,walmart_610; 
cluster_6296, 825633357020; 51246314; , 1,walmart_402; 
cluster_13104, 40432740; 190781170556; 1BS02UTABA; , 1,pcmg_492; 
cluster_3969, JTASZSEBZ481S5BQ; 191800035115; , 1,massgenie_383; 
cluster_2366, 4WJ36UAABA; , 1,macmall_510; 
cluster_9042, PC51277; , 1,macmall_122; 
cluster_13344, 192545207461; DC3WD99UTBCA; , 1,kaizyr_121; 
cluster_4537, 889349857236; , 1,techcrave_1843; 
cluster_21256, 888863760572; , 4,antonline_1200; techcrave_155; buydig_340; rlsteinway_13; 
cluster_11133, 4WV74ES#ABU; 193015910126; , 1,box_0139; 
cluster_16680, 14ak060nr; 889894510686; , 2,bestbuy_559; truecurate_178; 
cluster_10202, 5CZ70UCABA; , 1,macmall_371; 
cluster_130, 92636330644; DCASP71GLXS60CA; , 1,kaizyr_92; 
cluster_15443, 81F10001US; 81EM0009US; 192330716871; , 2,savingslots_402; howardcomputer_1531; 
cluster_13114, FX504GMEN269T; , 1,jw_21; 
cluster_9108, 192018055049; , 1,buydig_477; 
cluster_1401, 44786365; 887401049711; , 1,walmart_823; 
cluster_6731, B073JTDWTV; GP72MVR7RFX498NL; 4719072523039; , 1,gdxtech_1; 
cluster_8682, NXGNJAA002; ACR751TNC5P3; 191114249383; , 1,bhphotovideo_143; 
cluster_16155, 824142160541; GS65STEALTHTHIN054; , 2,truecurate_391; bestbuy_912; 
cluster_20327, 884116317692; TP412UADB71T; , 3,antonline_720; buydig_141; savingslots_404; 
cluster_11162, 40942021; FJ7FF; , 1,pcmg_248; 
cluster_11976, 190780196281; , 1,techcrave_776; 
cluster_14075, 582465663; 689354184118; , 1,walmart_717; 
cluster_13989, 844750021249; , 1,techcrave_1919; 
cluster_18591, 1JD34UTABA; 190781697831; 40601113; HEZB15G4JD34; , 3,sdicraft_502; macmall_265; pcmg_422; 
cluster_11421, Z0UBMPTR35BH; APMBPBMPTR35; , 1,sdicraft_22; 
cluster_13634, CF3110559KM; , 1,portableone_181; 
cluster_7811, N950VRTP6; , 1,cukusa_33; 
cluster_5126, 56014058; 825633420120; , 1,walmart_672; 
cluster_3350, NOT05565; 192158804125; 20LM0000UK; , 1,cclonline_165; 
cluster_3287, 889296453017; , 1,techcrave_599; 
cluster_18427, 884116236689; , 2,antonline_1195; techcrave_1955; 
cluster_10959, 192330061391; , 1,techcrave_1313; 
cluster_12315, B01N0EMDNM; Z3A02ESABD; , 1,gdxtech_23; 
cluster_6251, 344401703; 191114563403; , 1,walmart_18; 
cluster_22469, 889349896570; 425187983; DCS510UADS71CA; SP51352N3978; S510UADS71; , 8,techcrave_1852; macmall_32; kaizyr_26; savingslots_476; truecurate_85; bestbuy_286; abt_40; walmart_839; 
